invoice_id,settlement_id,txn_id,case_type,notes
INV-2026-000001,setl_000000000001,TXN00000001,batched_settlement,1 of 4
INV-2026-000002,setl_000000000001,TXN00000001,batched_settlement,1 of 4
INV-2026-000003,setl_000000000001,TXN00000001,batched_settlement,1 of 4
INV-2026-000004,setl_000000000001,TXN00000001,batched_settlement,1 of 4
INV-2026-000005,setl_000000000002,TXN00000002,batched_settlement,1 of 2
INV-2026-000006,setl_000000000002,TXN00000002,batched_settlement,1 of 2
INV-2026-000007,setl_000000000003,TXN00000003,batched_settlement,1 of 3
INV-2026-000008,setl_000000000003,TXN00000003,batched_settlement,1 of 3
INV-2026-000009,setl_000000000003,TXN00000003,batched_settlement,1 of 3
INV-2026-000010,setl_000000000004,TXN00000004,batched_settlement,1 of 2
INV-2026-000011,setl_000000000004,TXN00000004,batched_settlement,1 of 2
INV-2026-000012,setl_000000000005,TXN00000005,batched_settlement,1 of 5
INV-2026-000013,setl_000000000005,TXN00000005,batched_settlement,1 of 5
INV-2026-000014,setl_000000000005,TXN00000005,batched_settlement,1 of 5
INV-2026-000015,setl_000000000005,TXN00000005,batched_settlement,1 of 5
INV-2026-000016,setl_000000000005,TXN00000005,batched_settlement,1 of 5
INV-2026-000017,setl_000000000006,TXN00000006,batched_settlement,1 of 5
INV-2026-000018,setl_000000000006,TXN00000006,batched_settlement,1 of 5
INV-2026-000019,setl_000000000006,TXN00000006,batched_settlement,1 of 5
INV-2026-000020,setl_000000000006,TXN00000006,batched_settlement,1 of 5
INV-2026-000021,setl_000000000006,TXN00000006,batched_settlement,1 of 5
INV-2026-000022,setl_000000000007,TXN00000007,batched_settlement,1 of 2
INV-2026-000023,setl_000000000007,TXN00000007,batched_settlement,1 of 2
INV-2026-000024,setl_000000000008,TXN00000008,batched_settlement,1 of 2
INV-2026-000025,setl_000000000008,TXN00000008,batched_settlement,1 of 2
INV-2026-000026,setl_000000000009,TXN00000009,batched_settlement,1 of 2
INV-2026-000027,setl_000000000009,TXN00000009,batched_settlement,1 of 2
INV-2026-000028,setl_000000000010,TXN00000010,batched_settlement,1 of 5
INV-2026-000029,setl_000000000010,TXN00000010,batched_settlement,1 of 5
INV-2026-000030,setl_000000000010,TXN00000010,batched_settlement,1 of 5
INV-2026-000031,setl_000000000010,TXN00000010,batched_settlement,1 of 5
INV-2026-000032,setl_000000000010,TXN00000010,batched_settlement,1 of 5
INV-2026-000033,setl_000000000011,TXN00000011,batched_settlement,1 of 5
INV-2026-000034,setl_000000000011,TXN00000011,batched_settlement,1 of 5
INV-2026-000035,setl_000000000011,TXN00000011,batched_settlement,1 of 5
INV-2026-000036,setl_000000000011,TXN00000011,batched_settlement,1 of 5
INV-2026-000037,setl_000000000011,TXN00000011,batched_settlement,1 of 5
INV-2026-000038,setl_000000000012,TXN00000012,batched_settlement,1 of 3
INV-2026-000039,setl_000000000012,TXN00000012,batched_settlement,1 of 3
INV-2026-000040,setl_000000000012,TXN00000012,batched_settlement,1 of 3
INV-2026-000041,setl_000000000013,TXN00000013,batched_settlement,1 of 5
INV-2026-000042,setl_000000000013,TXN00000013,batched_settlement,1 of 5
INV-2026-000043,setl_000000000013,TXN00000013,batched_settlement,1 of 5
INV-2026-000044,setl_000000000013,TXN00000013,batched_settlement,1 of 5
INV-2026-000045,setl_000000000013,TXN00000013,batched_settlement,1 of 5
INV-2026-000046,setl_000000000014,TXN00000014,batched_settlement,1 of 5
INV-2026-000047,setl_000000000014,TXN00000014,batched_settlement,1 of 5
INV-2026-000048,setl_000000000014,TXN00000014,batched_settlement,1 of 5
INV-2026-000049,setl_000000000014,TXN00000014,batched_settlement,1 of 5
INV-2026-000050,setl_000000000014,TXN00000014,batched_settlement,1 of 5
INV-2026-000051,setl_000000000015,TXN00000015,batched_settlement,1 of 4
INV-2026-000052,setl_000000000015,TXN00000015,batched_settlement,1 of 4
INV-2026-000053,setl_000000000015,TXN00000015,batched_settlement,1 of 4
INV-2026-000054,setl_000000000015,TXN00000015,batched_settlement,1 of 4
INV-2026-000055,setl_000000000016,TXN00000016,batched_settlement,1 of 3
INV-2026-000056,setl_000000000016,TXN00000016,batched_settlement,1 of 3
INV-2026-000057,setl_000000000016,TXN00000016,batched_settlement,1 of 3
INV-2026-000058,setl_000000000017,TXN00000017,batched_settlement,1 of 5
INV-2026-000059,setl_000000000017,TXN00000017,batched_settlement,1 of 5
INV-2026-000060,setl_000000000017,TXN00000017,batched_settlement,1 of 5
INV-2026-000061,setl_000000000017,TXN00000017,batched_settlement,1 of 5
INV-2026-000062,setl_000000000017,TXN00000017,batched_settlement,1 of 5
INV-2026-000063,setl_000000000018,TXN00000018,batched_settlement,1 of 4
INV-2026-000064,setl_000000000018,TXN00000018,batched_settlement,1 of 4
INV-2026-000065,setl_000000000018,TXN00000018,batched_settlement,1 of 4
INV-2026-000066,setl_000000000018,TXN00000018,batched_settlement,1 of 4
INV-2026-000067,setl_000000000019,TXN00000019,batched_settlement,1 of 5
INV-2026-000068,setl_000000000019,TXN00000019,batched_settlement,1 of 5
INV-2026-000069,setl_000000000019,TXN00000019,batched_settlement,1 of 5
